field,num_unique_values
http://www.wikidata.org/entity/Q11283748,1
http://www.wikidata.org/entity/Q11283903,1
http://www.wikidata.org/entity/Q11283960,1
http://www.wikidata.org/entity/Q11284089,1
http://www.wikidata.org/entity/Q11284091,1
http://www.wikidata.org/entity/Q11284092,1
http://www.wikidata.org/entity/Q11284093,1
http://www.wikidata.org/entity/Q11284094,1
http://www.wikidata.org/entity/Q11284095,1
http://www.wikidata.org/entity/Q11284096,1
http://www.wikidata.org/entity/Q11284097,1
http://www.wikidata.org/entity/Q11284098,1
http://www.wikidata.org/entity/Q11284099,1
http://www.wikidata.org/entity/Q11284100,1
http://www.wikidata.org/entity/Q11284102,1
http://www.wikidata.org/entity/Q11284103,1
http://www.wikidata.org/entity/Q11284104,1
http://www.wikidata.org/entity/Q11284105,1
http://www.wikidata.org/entity/Q11284106,1
http://www.wikidata.org/entity/Q11284114,1
http://www.wikidata.org/entity/Q11284198,1
http://www.wikidata.org/entity/Q11284322,1
http://www.wikidata.org/entity/Q11284509,1
http://www.wikidata.org/entity/Q11284604,1
http://www.wikidata.org/entity/Q11284651,1
http://www.wikidata.org/entity/Q11284668,1
http://www.wikidata.org/entity/Q11284680,1
http://www.wikidata.org/entity/Q11284700,1
http://www.wikidata.org/entity/Q11284748,1
http://www.wikidata.org/entity/Q11284753,1
http://www.wikidata.org/entity/Q11284801,1
http://www.wikidata.org/entity/Q11284813,1
http://www.wikidata.org/entity/Q11284817,1
http://www.wikidata.org/entity/Q11284845,1
http://www.wikidata.org/entity/Q11285005,1
http://www.wikidata.org/entity/Q11285065,1
http://www.wikidata.org/entity/Q11285192,1
http://www.wikidata.org/entity/Q11285199,1
http://www.wikidata.org/entity/Q11285232,1
http://www.wikidata.org/entity/Q11285326,1
http://www.wikidata.org/entity/Q11285398,1
http://www.wikidata.org/entity/Q11285402,1
http://www.wikidata.org/entity/Q11285430,1
http://www.wikidata.org/entity/Q11285436,1
http://www.wikidata.org/entity/Q11285454,1
http://www.wikidata.org/entity/Q11285505,1
http://www.wikidata.org/entity/Q11285511,1
http://www.wikidata.org/entity/Q11285527,1
http://www.wikidata.org/entity/Q11285690,1
http://www.wikidata.org/entity/Q11285709,1
http://www.wikidata.org/entity/Q11285774,1
http://www.wikidata.org/entity/Q11285855,1
http://www.wikidata.org/entity/Q11285901,1
http://www.wikidata.org/entity/Q11285909,1
http://www.wikidata.org/entity/Q11286412,1
http://www.wikidata.org/entity/Q11286426,1
http://www.wikidata.org/entity/Q11286434,1
http://www.wikidata.org/entity/Q11286479,1
http://www.wikidata.org/entity/Q11286483,1
http://www.wikidata.org/entity/Q11286497,1
http://www.wikidata.org/entity/Q11286498,1
http://www.wikidata.org/entity/Q11286543,1
http://www.wikidata.org/entity/Q11286544,1
http://www.wikidata.org/entity/Q11286545,1
http://www.wikidata.org/entity/Q11286652,1
http://www.wikidata.org/entity/Q11286690,1
http://www.wikidata.org/entity/Q11286766,1
http://www.wikidata.org/entity/Q11286800,1
http://www.wikidata.org/entity/Q11286810,1
http://www.wikidata.org/entity/Q11286881,1
http://www.wikidata.org/entity/Q11286884,1
